matrix size: 34 	 crout: 0.004000186920166016[s] 	 doolittle: 0.00999903678894043[s] 	 cholesky: 0.005002260208129883[s]
matrix size: 44 	 crout: 0.00699925422668457[s] 	 doolittle: 0.020999670028686523[s] 	 cholesky: 0.011005163192749023[s]
matrix size: 69 	 crout: 0.03001546859741211[s] 	 doolittle: 0.06197786331176758[s] 	 cholesky: 0.0370020866394043[s]
matrix size: 17 	 crout: 0.0[s] 	 doolittle: 0.0020003318786621094[s] 	 cholesky: 0.0019996166229248047[s]
matrix size: 63 	 crout: 0.01804637908935547[s] 	 doolittle: 0.04799938201904297[s] 	 cholesky: 0.030954837799072266[s]
matrix size: 17 	 crout: 0.001001119613647461[s] 	 doolittle: 0.002999544143676758[s] 	 cholesky: 0.0009987354278564453[s]
matrix size: 33 	 crout: 0.0030345916748046875[s] 	 doolittle: 0.008965015411376953[s] 	 cholesky: 0.006002902984619141[s]
matrix size: 47 	 crout: 0.008032560348510742[s] 	 doolittle: 0.022983551025390625[s] 	 cholesky: 0.01298069953918457[s]
matrix size: 29 	 crout: 0.002002239227294922[s] 	 doolittle: 0.0059967041015625[s] 	 cholesky: 0.003970623016357422[s]
matrix size: 75 	 crout: 0.029030799865722656[s] 	 doolittle: 0.08499932289123535[s] 	 cholesky: 0.045964717864990234[s]
matrix size: 22 	 crout: 0.0010361671447753906[s] 	 doolittle: 0.0029633045196533203[s] 	 cholesky: 0.0020351409912109375[s]
matrix size: 53 	 crout: 0.01099395751953125[s] 	 doolittle: 0.030991792678833008[s] 	 cholesky: 0.017974138259887695[s]
matrix size: 73 	 crout: 0.02599930763244629[s] 	 doolittle: 0.07303476333618164[s] 	 cholesky: 0.04700160026550293[s]
matrix size: 49 	 crout: 0.007999181747436523[s] 	 doolittle: 0.025002241134643555[s] 	 cholesky: 0.014996767044067383[s]
matrix size: 43 	 crout: 0.006000041961669922[s] 	 doolittle: 0.017006397247314453[s] 	 cholesky: 0.009958982467651367[s]
matrix size: 58 	 crout: 0.014037132263183594[s] 	 doolittle: 0.04099726676940918[s] 	 cholesky: 0.02400064468383789[s]
matrix size: 23 	 crout: 0.0009989738464355469[s] 	 doolittle: 0.00499725341796875[s] 	 cholesky: 0.0029697418212890625[s]
matrix size: 28 	 crout: 0.0019996166229248047[s] 	 doolittle: 0.008000373840332031[s] 	 cholesky: 0.003999948501586914[s]
matrix size: 45 	 crout: 0.010999441146850586[s] 	 doolittle: 0.021035432815551758[s] 	 cholesky: 0.011962175369262695[s]
matrix size: 32 	 crout: 0.0029981136322021484[s] 	 doolittle: 0.010035991668701172[s] 	 cholesky: 0.0049664974212646484[s]
matrix size: 76 	 crout: 0.0319974422454834[s] 	 doolittle: 0.09203553199768066[s] 	 cholesky: 0.051001548767089844[s]
matrix size: 61 	 crout: 0.01796889305114746[s] 	 doolittle: 0.04900646209716797[s] 	 cholesky: 0.028990745544433594[s]
matrix size: 79 	 crout: 0.03703904151916504[s] 	 doolittle: 0.10496306419372559[s] 	 cholesky: 0.06799697875976562[s]
matrix size: 69 	 crout: 0.02500438690185547[s] 	 doolittle: 0.07103180885314941[s] 	 cholesky: 0.03598356246948242[s]
matrix size: 32 	 crout: 0.003000974655151367[s] 	 doolittle: 0.00998067855834961[s] 	 cholesky: 0.00500178337097168[s]
matrix size: 15 	 crout: 0.0[s] 	 doolittle: 0.0009999275207519531[s] 	 cholesky: 0.0010001659393310547[s]
matrix size: 72 	 crout: 0.029999494552612305[s] 	 doolittle: 0.07303643226623535[s] 	 cholesky: 0.038996219635009766[s]
matrix size: 67 	 crout: 0.02200484275817871[s] 	 doolittle: 0.05599689483642578[s] 	 cholesky: 0.03096318244934082[s]
matrix size: 38 	 crout: 0.004010677337646484[s] 	 doolittle: 0.011999845504760742[s] 	 cholesky: 0.007995128631591797[s]
matrix size: 28 	 crout: 0.0020024776458740234[s] 	 doolittle: 0.005960941314697266[s] 	 cholesky: 0.0030019283294677734[s]
matrix size: 56 	 crout: 0.012034893035888672[s] 	 doolittle: 0.03299880027770996[s] 	 cholesky: 0.02200484275817871[s]
matrix size: 69 	 crout: 0.0219881534576416[s] 	 doolittle: 0.07097339630126953[s] 	 cholesky: 0.03999757766723633[s]
matrix size: 16 	 crout: 0.0010008811950683594[s] 	 doolittle: 0.001999378204345703[s] 	 cholesky: 0.0009996891021728516[s]
matrix size: 61 	 crout: 0.015999794006347656[s] 	 doolittle: 0.047037363052368164[s] 	 cholesky: 0.025000810623168945[s]
matrix size: 22 	 crout: 0.0[s] 	 doolittle: 0.005002737045288086[s] 	 cholesky: 0.001999378204345703[s]
matrix size: 79 	 crout: 0.0429990291595459[s] 	 doolittle: 0.08899736404418945[s] 	 cholesky: 0.0500028133392334[s]
matrix size: 24 	 crout: 0.0010268688201904297[s] 	 doolittle: 0.004972219467163086[s] 	 cholesky: 0.004027128219604492[s]
matrix size: 14 	 crout: 0.0[s] 	 doolittle: 0.0020253658294677734[s] 	 cholesky: 0.0009477138519287109[s]
matrix size: 72 	 crout: 0.02603626251220703[s] 	 doolittle: 0.07196426391601562[s] 	 cholesky: 0.04302811622619629[s]
matrix size: 14 	 crout: 0.0[s] 	 doolittle: 0.0009963512420654297[s] 	 cholesky: 0.0010006427764892578[s]
matrix size: 35 	 crout: 0.003972530364990234[s] 	 doolittle: 0.010035991668701172[s] 	 cholesky: 0.006004810333251953[s]
matrix size: 68 	 crout: 0.021959781646728516[s] 	 doolittle: 0.06503653526306152[s] 	 cholesky: 0.0359649658203125[s]
matrix size: 62 	 crout: 0.01799774169921875[s] 	 doolittle: 0.04903578758239746[s] 	 cholesky: 0.029000282287597656[s]
matrix size: 21 	 crout: 0.0010001659393310547[s] 	 doolittle: 0.002966165542602539[s] 	 cholesky: 0.001998424530029297[s]
matrix size: 31 	 crout: 0.0030350685119628906[s] 	 doolittle: 0.006966352462768555[s] 	 cholesky: 0.0060100555419921875[s]
matrix size: 18 	 crout: 0.0009882450103759766[s] 	 doolittle: 0.002001047134399414[s] 	 cholesky: 0.0010275840759277344[s]
matrix size: 32 	 crout: 0.0030069351196289062[s] 	 doolittle: 0.008001327514648438[s] 	 cholesky: 0.005001068115234375[s]
matrix size: 64 	 crout: 0.01999807357788086[s] 	 doolittle: 0.05196523666381836[s] 	 cholesky: 0.029019832611083984[s]
matrix size: 38 	 crout: 0.004000186920166016[s] 	 doolittle: 0.014962911605834961[s] 	 cholesky: 0.007002115249633789[s]
matrix size: 54 	 crout: 0.015002250671386719[s] 	 doolittle: 0.03799700736999512[s] 	 cholesky: 0.01903700828552246[s]
matrix size: 56 	 crout: 0.013964414596557617[s] 	 doolittle: 0.0370333194732666[s] 	 cholesky: 0.02099323272705078[s]
matrix size: 64 	 crout: 0.027973175048828125[s] 	 doolittle: 0.054889678955078125[s] 	 cholesky: 0.03365302085876465[s]
matrix size: 40 	 crout: 0.00495600700378418[s] 	 doolittle: 0.01600050926208496[s] 	 cholesky: 0.009035825729370117[s]
matrix size: 41 	 crout: 0.005964994430541992[s] 	 doolittle: 0.015035390853881836[s] 	 cholesky: 0.009999752044677734[s]
matrix size: 75 	 crout: 0.029035568237304688[s] 	 doolittle: 0.07699918746948242[s] 	 cholesky: 0.044965505599975586[s]
matrix size: 74 	 crout: 0.02703380584716797[s] 	 doolittle: 0.07500195503234863[s] 	 cholesky: 0.04300737380981445[s]
matrix size: 20 	 crout: 0.0010004043579101562[s] 	 doolittle: 0.001999378204345703[s] 	 cholesky: 0.0020012855529785156[s]
matrix size: 18 	 crout: 0.00099945068359375[s] 	 doolittle: 0.0010023117065429688[s] 	 cholesky: 0.001999378204345703[s]
matrix size: 49 	 crout: 0.009002208709716797[s] 	 doolittle: 0.02400517463684082[s] 	 cholesky: 0.013974428176879883[s]
