matrix size: 75 	 crout: 0.04099607467651367[s] 	 doolittle: 0.10000371932983398[s] 	 cholesky: 0.06199836730957031[s] 	 numpy: 0.0039997100830078125[s] 	 scipy: 0.006999015808105469[s]
matrix size: 91 	 crout: 0.06300210952758789[s] 	 doolittle: 0.14899659156799316[s] 	 cholesky: 0.10200047492980957[s] 	 numpy: 0.005000114440917969[s] 	 scipy: 0.005000114440917969[s]
matrix size: 71 	 crout: 0.035001516342163086[s] 	 doolittle: 0.07599854469299316[s] 	 cholesky: 0.05000162124633789[s] 	 numpy: 0.0039997100830078125[s] 	 scipy: 0.003999948501586914[s]
matrix size: 96 	 crout: 0.09199810028076172[s] 	 doolittle: 0.16900014877319336[s] 	 cholesky: 0.09900259971618652[s] 	 numpy: 0.00499725341796875[s] 	 scipy: 0.004000186920166016[s]
matrix size: 24 	 crout: 0.0030012130737304688[s] 	 doolittle: 0.007002830505371094[s] 	 cholesky: 0.006007194519042969[s] 	 numpy: 0.0009920597076416016[s] 	 scipy: 0.0009961128234863281[s]
matrix size: 57 	 crout: 0.029001474380493164[s] 	 doolittle: 0.0559999942779541[s] 	 cholesky: 0.037017107009887695[s] 	 numpy: 0.0019817352294921875[s] 	 scipy: 0.0040471553802490234[s]
matrix size: 68 	 crout: 0.04295539855957031[s] 	 doolittle: 0.08500289916992188[s] 	 cholesky: 0.054995059967041016[s] 	 numpy: 0.0019986629486083984[s] 	 scipy: 0.0030024051666259766[s]
matrix size: 41 	 crout: 0.013022184371948242[s] 	 doolittle: 0.023975849151611328[s] 	 cholesky: 0.013003110885620117[s] 	 numpy: 0.001997232437133789[s] 	 scipy: 0.0020008087158203125[s]
matrix size: 67 	 crout: 0.031000852584838867[s] 	 doolittle: 0.07799816131591797[s] 	 cholesky: 0.043000221252441406[s] 	 numpy: 0.0019996166229248047[s] 	 scipy: 0.0029990673065185547[s]
matrix size: 35 	 crout: 0.0060002803802490234[s] 	 doolittle: 0.015001773834228516[s] 	 cholesky: 0.010000228881835938[s] 	 numpy: 0.002013683319091797[s] 	 scipy: 0.0009839534759521484[s]
matrix size: 87 	 crout: 0.057001352310180664[s] 	 doolittle: 0.12999916076660156[s] 	 cholesky: 0.08300089836120605[s] 	 numpy: 0.003000020980834961[s] 	 scipy: 0.003998756408691406[s]
matrix size: 30 	 crout: 0.0049991607666015625[s] 	 doolittle: 0.012001991271972656[s] 	 cholesky: 0.009003639221191406[s] 	 numpy: 0.001996278762817383[s] 	 scipy: 0.0009987354278564453[s]
matrix size: 37 	 crout: 0.00800013542175293[s] 	 doolittle: 0.016000032424926758[s] 	 cholesky: 0.01299905776977539[s] 	 numpy: 0.0010025501251220703[s] 	 scipy: 0.0020012855529785156[s]
matrix size: 75 	 crout: 0.03899717330932617[s] 	 doolittle: 0.10500192642211914[s] 	 cholesky: 0.05599808692932129[s] 	 numpy: 0.0029990673065185547[s] 	 scipy: 0.004002809524536133[s]
matrix size: 46 	 crout: 0.015001535415649414[s] 	 doolittle: 0.027997732162475586[s] 	 cholesky: 0.018035411834716797[s] 	 numpy: 0.0019631385803222656[s] 	 scipy: 0.003002643585205078[s]
matrix size: 91 	 crout: 0.06500005722045898[s] 	 doolittle: 0.15599989891052246[s] 	 cholesky: 0.08599996566772461[s] 	 numpy: 0.003999233245849609[s] 	 scipy: 0.00500035285949707[s]
matrix size: 59 	 crout: 0.022000551223754883[s] 	 doolittle: 0.05499982833862305[s] 	 cholesky: 0.036000967025756836[s] 	 numpy: 0.002997875213623047[s] 	 scipy: 0.002001523971557617[s]
matrix size: 93 	 crout: 0.06500005722045898[s] 	 doolittle: 0.1560983657836914[s] 	 cholesky: 0.09156155586242676[s] 	 numpy: 0.004997730255126953[s] 	 scipy: 0.00400233268737793[s]
matrix size: 52 	 crout: 0.018998384475708008[s] 	 doolittle: 0.0390012264251709[s] 	 cholesky: 0.030033111572265625[s] 	 numpy: 0.003965139389038086[s] 	 scipy: 0.0019989013671875[s]
matrix size: 88 	 crout: 0.05906033515930176[s] 	 doolittle: 0.13093829154968262[s] 	 cholesky: 0.08299970626831055[s] 	 numpy: 0.004001140594482422[s] 	 scipy: 0.003999233245849609[s]
matrix size: 89 	 crout: 0.06300115585327148[s] 	 doolittle: 0.1615159511566162[s] 	 cholesky: 0.08770346641540527[s] 	 numpy: 0.003999233245849609[s] 	 scipy: 0.004999399185180664[s]
matrix size: 32 	 crout: 0.00599980354309082[s] 	 doolittle: 0.012000083923339844[s] 	 cholesky: 0.011000633239746094[s] 	 numpy: 0.0009989738464355469[s] 	 scipy: 0.002000570297241211[s]
matrix size: 65 	 crout: 0.026998281478881836[s] 	 doolittle: 0.06400442123413086[s] 	 cholesky: 0.0429990291595459[s] 	 numpy: 0.003000974655151367[s] 	 scipy: 0.0029993057250976562[s]
matrix size: 74 	 crout: 0.040001869201660156[s] 	 doolittle: 0.08499932289123535[s] 	 cholesky: 0.05499911308288574[s] 	 numpy: 0.003000497817993164[s] 	 scipy: 0.0029990673065185547[s]
matrix size: 33 	 crout: 0.008001565933227539[s] 	 doolittle: 0.01299905776977539[s] 	 cholesky: 0.010003805160522461[s] 	 numpy: 0.0009982585906982422[s] 	 scipy: 0.0009984970092773438[s]
matrix size: 62 	 crout: 0.03699779510498047[s] 	 doolittle: 0.054000139236450195[s] 	 cholesky: 0.035003662109375[s] 	 numpy: 0.003996372222900391[s] 	 scipy: 0.0019979476928710938[s]
matrix size: 69 	 crout: 0.03400063514709473[s] 	 doolittle: 0.07200050354003906[s] 	 cholesky: 0.04699897766113281[s] 	 numpy: 0.0030002593994140625[s] 	 scipy: 0.002997875213623047[s]
matrix size: 41 	 crout: 0.01100301742553711[s] 	 doolittle: 0.0240018367767334[s] 	 cholesky: 0.01599740982055664[s] 	 numpy: 0.0020024776458740234[s] 	 scipy: 0.0019974708557128906[s]
matrix size: 71 	 crout: 0.033002376556396484[s] 	 doolittle: 0.07699728012084961[s] 	 cholesky: 0.05300116539001465[s] 	 numpy: 0.003998517990112305[s] 	 scipy: 0.002998828887939453[s]
matrix size: 99 	 crout: 0.07901382446289062[s] 	 doolittle: 0.20398616790771484[s] 	 cholesky: 0.10600018501281738[s] 	 numpy: 0.00599980354309082[s] 	 scipy: 0.00500035285949707[s]
matrix size: 78 	 crout: 0.05299973487854004[s] 	 doolittle: 0.11700057983398438[s] 	 cholesky: 0.06399941444396973[s] 	 numpy: 0.0039997100830078125[s] 	 scipy: 0.004000186920166016[s]
matrix size: 94 	 crout: 0.09000015258789062[s] 	 doolittle: 0.1849982738494873[s] 	 cholesky: 0.10799884796142578[s] 	 numpy: 0.005003690719604492[s] 	 scipy: 0.004000425338745117[s]
